subject,trial,blink,pupil,IP_START_TIME,sample_message,TIMESTAMP,trial,time
BZ4min,1,0,901.5,175027414,NA,175027920,1,506
BZ4min,1,0,903,175027414,NA,175027922,1,508
BZ4min,1,0,904.5,175027414,NA,175027924,1,510
BZ4min,1,0,905.5,175027414,NA,175027926,1,512
BZ4min,1,0,906.5,175027414,NA,175027928,1,514
BZ4min,1,0,906,175027414,NA,175027930,1,516
BZ4min,1,0,904.5,175027414,NA,175027932,1,518
BZ4min,1,0,904,175027414,NA,175027934,1,520
BZ4min,1,0,904.5,175027414,NA,175027936,1,522
BZ4min,1,0,905.5,175027414,NA,175027938,1,524
BZ4min,1,0,907.5,175027414,NA,175027940,1,526
BZ4min,1,0,909,175027414,NA,175027942,1,528
BZ4min,1,0,910.5,175027414,NA,175027944,1,530
BZ4min,1,0,910.5,175027414,NA,175027946,1,532
BZ4min,1,0,911.5,175027414,NA,175027948,1,534
BZ4min,1,0,910.5,175027414,NA,175027950,1,536
BZ4min,1,0,909,175027414,NA,175027952,1,538
BZ4min,1,0,909,175027414,NA,175027954,1,540
BZ4min,1,0,909.5,175027414,NA,175027956,1,542
BZ4min,1,0,909.5,175027414,NA,175027958,1,544
BZ4min,1,0,911,175027414,NA,175027960,1,546
BZ4min,1,0,912,175027414,NA,175027962,1,548
BZ4min,1,0,913.5,175027414,NA,175027964,1,550
BZ4min,1,0,914,175027414,NA,175027966,1,552
BZ4min,1,0,916,175027414,NA,175027968,1,554
BZ4min,1,0,917,175027414,NA,175027970,1,556
BZ4min,1,0,917,175027414,NA,175027972,1,558
BZ4min,1,0,917.5,175027414,NA,175027974,1,560
BZ4min,1,0,917,175027414,NA,175027976,1,562
BZ4min,1,0,917,175027414,NA,175027978,1,564
BZ4min,1,0,917,175027414,NA,175027980,1,566
BZ4min,1,0,918,175027414,NA,175027982,1,568
BZ4min,1,0,920,175027414,NA,175027984,1,570
BZ4min,1,0,922,175027414,NA,175027986,1,572
BZ4min,1,0,924.5,175027414,NA,175027988,1,574
BZ4min,1,0,926,175027414,NA,175027990,1,576
BZ4min,1,0,928,175027414,NA,175027992,1,578
BZ4min,1,0,927.5,175027414,NA,175027994,1,580
BZ4min,1,0,928,175027414,NA,175027996,1,582
BZ4min,1,0,928.5,175027414,NA,175027998,1,584
BZ4min,1,0,927,175027414,NA,175028000,1,586
BZ4min,1,0,927.5,175027414,NA,175028002,1,588
BZ4min,1,0,925.5,175027414,NA,175028004,1,590
BZ4min,1,0,927,175027414,NA,175028006,1,592
BZ4min,1,0,928,175027414,NA,175028008,1,594
BZ4min,1,0,929.5,175027414,NA,175028010,1,596
BZ4min,1,0,930,175027414,NA,175028012,1,598
BZ4min,1,0,929.5,175027414,NA,175028014,1,600
BZ4min,1,0,930,175027414,NA,175028016,1,602
BZ4min,1,0,931,175027414,NA,175028018,1,604
BZ4min,1,0,930,175027414,NA,175028020,1,606
BZ4min,1,0,929,175027414,NA,175028022,1,608
BZ4min,1,0,930.5,175027414,NA,175028024,1,610
BZ4min,1,0,933,175027414,NA,175028026,1,612
BZ4min,1,0,933.5,175027414,NA,175028028,1,614
BZ4min,1,0,933.5,175027414,NA,175028030,1,616
BZ4min,1,0,934,175027414,NA,175028032,1,618
BZ4min,1,0,933.5,175027414,NA,175028034,1,620
BZ4min,1,0,937.5,175027414,NA,175028036,1,622
BZ4min,1,0,940,175027414,NA,175028038,1,624
BZ4min,1,0,939,175027414,NA,175028040,1,626
BZ4min,1,0,936.5,175027414,NA,175028042,1,628
BZ4min,1,0,936.5,175027414,NA,175028044,1,630
BZ4min,1,0,937.5,175027414,NA,175028046,1,632
BZ4min,1,0,938,175027414,NA,175028048,1,634
BZ4min,1,0,937.5,175027414,NA,175028050,1,636
BZ4min,1,0,937.5,175027414,NA,175028052,1,638
BZ4min,1,0,940.5,175027414,NA,175028054,1,640
BZ4min,1,0,942.5,175027414,NA,175028056,1,642
BZ4min,1,0,942,175027414,NA,175028058,1,644
BZ4min,1,0,942.5,175027414,NA,175028060,1,646
BZ4min,1,0,944,175027414,NA,175028062,1,648
BZ4min,1,0,944,175027414,NA,175028064,1,650
BZ4min,1,0,943.5,175027414,NA,175028066,1,652
BZ4min,1,0,943,175027414,NA,175028068,1,654
BZ4min,1,0,943,175027414,NA,175028070,1,656
BZ4min,1,0,944.5,175027414,NA,175028072,1,658
BZ4min,1,0,948.5,175027414,NA,175028074,1,660
BZ4min,1,0,950.5,175027414,NA,175028076,1,662
BZ4min,1,0,950,175027414,NA,175028078,1,664
BZ4min,1,0,948,175027414,NA,175028080,1,666
BZ4min,1,0,947.5,175027414,NA,175028082,1,668
BZ4min,1,0,946,175027414,NA,175028084,1,670
BZ4min,1,0,945,175027414,NA,175028086,1,672
BZ4min,1,0,944,175027414,NA,175028088,1,674
BZ4min,1,0,943.5,175027414,NA,175028090,1,676
BZ4min,1,0,944,175027414,NA,175028092,1,678
BZ4min,1,0,943,175027414,NA,175028094,1,680
BZ4min,1,0,944,175027414,NA,175028096,1,682
BZ4min,1,0,946,175027414,NA,175028098,1,684
BZ4min,1,0,946.5,175027414,NA,175028100,1,686
BZ4min,1,0,948,175027414,NA,175028102,1,688
BZ4min,1,0,950,175027414,NA,175028104,1,690
BZ4min,1,0,952.5,175027414,NA,175028106,1,692
BZ4min,1,0,954,175027414,NA,175028108,1,694
BZ4min,1,0,951,175027414,NA,175028110,1,696
BZ4min,1,0,950.5,175027414,NA,175028112,1,698
BZ4min,1,0,951,175027414,NA,175028114,1,700
BZ4min,1,0,951,175027414,NA,175028116,1,702
BZ4min,1,0,951.5,175027414,NA,175028118,1,704
BZ4min,1,0,951,175027414,NA,175028120,1,706
BZ4min,1,0,951.5,175027414,NA,175028122,1,708
BZ4min,1,0,952,175027414,NA,175028124,1,710
BZ4min,1,0,951.5,175027414,NA,175028126,1,712
BZ4min,1,0,949,175027414,NA,175028128,1,714
BZ4min,1,0,948.5,175027414,NA,175028130,1,716
BZ4min,1,0,949.5,175027414,NA,175028132,1,718
BZ4min,1,0,949.5,175027414,NA,175028134,1,720
BZ4min,1,0,949.5,175027414,NA,175028136,1,722
BZ4min,1,0,949,175027414,NA,175028138,1,724
BZ4min,1,0,949.5,175027414,NA,175028140,1,726
BZ4min,1,0,949.5,175027414,NA,175028142,1,728
BZ4min,1,0,947.5,175027414,NA,175028144,1,730
BZ4min,1,0,943.5,175027414,NA,175028146,1,732
BZ4min,1,0,942,175027414,NA,175028148,1,734
BZ4min,1,0,944,175027414,NA,175028150,1,736
BZ4min,1,0,947,175027414,NA,175028152,1,738
BZ4min,1,0,948.5,175027414,NA,175028154,1,740
BZ4min,1,0,948.5,175027414,NA,175028156,1,742
BZ4min,1,0,948.5,175027414,NA,175028158,1,744
BZ4min,1,0,952,175027414,NA,175028160,1,746
BZ4min,1,0,953,175027414,NA,175028162,1,748
BZ4min,1,0,954,175027414,NA,175028164,1,750
BZ4min,1,0,953.5,175027414,NA,175028166,1,752
BZ4min,1,0,950,175027414,NA,175028168,1,754
BZ4min,1,0,948.5,175027414,NA,175028170,1,756
BZ4min,1,0,949,175027414,NA,175028172,1,758
BZ4min,1,0,950.5,175027414,NA,175028174,1,760
BZ4min,1,0,949.5,175027414,NA,175028176,1,762
BZ4min,1,0,947,175027414,NA,175028178,1,764
BZ4min,1,0,944.5,175027414,NA,175028180,1,766
BZ4min,1,0,944.5,175027414,NA,175028182,1,768
BZ4min,1,0,945,175027414,NA,175028184,1,770
BZ4min,1,0,944.5,175027414,NA,175028186,1,772
BZ4min,1,0,944.5,175027414,NA,175028188,1,774
BZ4min,1,0,944,175027414,NA,175028190,1,776
BZ4min,1,0,942.5,175027414,NA,175028192,1,778
BZ4min,1,0,942.5,175027414,NA,175028194,1,780
BZ4min,1,0,943,175027414,NA,175028196,1,782
BZ4min,1,0,942.5,175027414,NA,175028198,1,784
BZ4min,1,0,942,175027414,NA,175028200,1,786
BZ4min,1,0,942.5,175027414,NA,175028202,1,788
BZ4min,1,0,941.5,175027414,NA,175028204,1,790
BZ4min,1,0,939,175027414,NA,175028206,1,792
BZ4min,1,0,938,175027414,NA,175028208,1,794
BZ4min,1,0,938.5,175027414,NA,175028210,1,796
BZ4min,1,0,936.5,175027414,NA,175028212,1,798
BZ4min,1,0,934.5,175027414,NA,175028214,1,800
BZ4min,1,0,934,175027414,NA,175028216,1,802
BZ4min,1,0,935.5,175027414,NA,175028218,1,804
BZ4min,1,0,936,175027414,NA,175028220,1,806
BZ4min,1,0,934.5,175027414,NA,175028222,1,808
BZ4min,1,0,932.5,175027414,NA,175028224,1,810
BZ4min,1,0,931,175027414,NA,175028226,1,812
BZ4min,1,0,930,175027414,NA,175028228,1,814
BZ4min,1,0,930.5,175027414,NA,175028230,1,816
BZ4min,1,0,929.5,175027414,NA,175028232,1,818
